TckrSymb,SctySrs,HghPric,LwPric,ClsPric,PrvsClsgPric,TtlTradgVol,TradDt
20MICRONS,EQ,170.17,165.0,166.61,166.92,82201,2026-03-11
21STCENMGM,EQ,35.2,33.91,33.94,34.53,1664,2026-03-11
360ONE,EQ,1065.0,1040.0,1048.1,1055.8,745098,2026-03-11
GOLD360,EQ,156.85,155.5,156.0,155.8,399106,2026-03-11
SILVER360,EQ,265.24,257.01,258.18,263.93,57336,2026-03-11
3IINFOLTD,EQ,13.65,13.13,13.24,13.13,497434,2026-03-11
3MINDIA,EQ,34625.0,33625.0,33720.0,33975.0,1880,2026-03-11
3PLAND,EQ,31.4,30.5,31.36,31.2,9478,2026-03-11
5PAISA,EQ,317.8,300.5,304.0,308.85,56788,2026-03-11
63MOONS,EQ,623.5,592.0,595.75,613.15,131782,2026-03-11
ABCOTS,EQ,409.65,393.05,401.95,395.45,24244,2026-03-11
ABINFRA,EQ,18.4,17.1,17.61,17.52,1455577,2026-03-11
AAATECH,EQ,97.59,93.32,94.76,94.73,20694,2026-03-11
AADHARHFC,EQ,486.0,473.4,482.35,480.1,210199,2026-03-11
AAREYDRUGS,EQ,71.42,65.25,67.65,69.24,26636,2026-03-11
AARNAV,EQ,28.3,24.01,26.29,24.09,30255,2026-03-11
AARON,EQ,152.9,145.01,145.9,149.13,14284,2026-03-11
AARTECH,EQ,42.11,40.05,40.34,41.1,11167,2026-03-11
AARTIDRUGS,EQ,362.45,349.75,352.75,353.45,155003,2026-03-11
AARTIIND,EQ,431.4,422.15,430.15,427.4,847379,2026-03-11
AARTIPHARM,EQ,699.8,678.0,681.05,686.7,113933,2026-03-11
AARTISURF,EQ,371.0,361.35,367.15,359.55,17632,2026-03-11
AARVI,EQ,136.8,128.53,129.82,132.8,13232,2026-03-11
AAVAS,EQ,1231.0,1200.0,1211.8,1220.1,97504,2026-03-11
AFSL,EQ,210.0,201.5,204.72,204.21,19410,2026-03-11
ABB,EQ,6325.0,6181.0,6280.0,6224.5,599883,2026-03-11
ABBOTINDIA,EQ,27325.0,26650.0,27200.0,26810.0,9145,2026-03-11
ACC,EQ,1497.4,1452.7,1456.4,1474.0,205801,2026-03-11
ACCELYA,EQ,1232.1,1198.8,1226.7,1201.6,22263,2026-03-11
ACCURACY,EQ,4.15,3.96,4.0,4.09,315417,2026-03-11
ACEINTEG,EQ,17.41,15.81,16.63,16.71,1929,2026-03-11
ACMESOLAR,EQ,232.87,222.79,230.24,224.13,475727,2026-03-11
ACE,EQ,879.6,850.0,853.4,859.7,145468,2026-03-11
