TckrSymb,SctySrs,TradDt
20MICRONS, EQ,2026-03-31
21STCENMGM, EQ,2026-03-31
360ONE, EQ,2026-03-31
3IINFOLTD, EQ,2026-03-31
3MINDIA, EQ,2026-03-31
3PLAND, EQ,2026-03-31
5PAISA, EQ,2026-03-31
63MOONS, EQ,2026-03-31
AAATECH, EQ,2026-03-31
AADHARHFC, EQ,2026-03-31
AAREYDRUGS, EQ,2026-03-31
AARNAV, EQ,2026-03-31
AARON, EQ,2026-03-31
AARTECH, EQ,2026-03-31
AARTIDRUGS, EQ,2026-03-31
AARTIIND, EQ,2026-03-31
AARTIPHARM, EQ,2026-03-31
AARTISURF, EQ,2026-03-31
AARVI, EQ,2026-03-31
AAVAS, EQ,2026-03-31
ABB, EQ,2026-03-31
ABBOTINDIA, EQ,2026-03-31
ABCAPITAL, EQ,2026-03-31
ABCOTS, EQ,2026-03-31
ABDL, EQ,2026-03-31
ABFRL, EQ,2026-03-31
ABGSEC, EQ,2026-03-31
ABINFRA, EQ,2026-03-31
ABLBL, EQ,2026-03-31
ABREL, EQ,2026-03-31
ABSL10BANK, EQ,2026-03-31
ABSLAMC, EQ,2026-03-31
ABSLBANETF, EQ,2026-03-31
ABSLLIQUID, EQ,2026-03-31
ABSLMSCIN, EQ,2026-03-31
ABSLNN50ET, EQ,2026-03-31
ABSLPSE, EQ,2026-03-31
ACC, EQ,2026-03-31
ACCELYA, EQ,2026-03-31
ACCURACY, EQ,2026-03-31
ACE, EQ,2026-03-31
ACEINTEG, EQ,2026-03-31
ACI, EQ,2026-03-31
ACL, EQ,2026-03-31
ACMESOLAR, EQ,2026-03-31
ACUTAAS, EQ,2026-03-31
ADANIENSOL, EQ,2026-03-31
ADANIENT, EQ,2026-03-31
ADANIGREEN, EQ,2026-03-31
ADANIPORTS, EQ,2026-03-31
ADANIPOWER, EQ,2026-03-31
ADFFOODS, EQ,2026-03-31
ADL, EQ,2026-03-31
ADOR, EQ,2026-03-31
ADROITINFO, EQ,2026-03-31
ADSL, EQ,2026-03-31
ADVAIT, EQ,2026-03-31
ADVANCE, EQ,2026-03-31
ADVANIHOTR, EQ,2026-03-31
ADVENTHTL, EQ,2026-03-31
ADVENZYMES, EQ,2026-03-31
AEGISLOG, EQ,2026-03-31
AEGISVOPAK, EQ,2026-03-31
AEPL, EQ,2026-03-31
AEQUS, EQ,2026-03-31
AEROENTER, EQ,2026-03-31
AEROFLEX, EQ,2026-03-31
AERONEU, EQ,2026-03-31
AETHER, EQ,2026-03-31
AFCONS, EQ,2026-03-31
AFFLE, EQ,2026-03-31
AFFORDABLE, EQ,2026-03-31
AFSL, EQ,2026-03-31
AGARIND, EQ,2026-03-31
AGARWALEYE, EQ,2026-03-31
AGI, EQ,2026-03-31
AGIIL, EQ,2026-03-31
AGRITECH, EQ,2026-03-31
AGROPHOS, EQ,2026-03-31
AHCL, EQ,2026-03-31
AHLADA, EQ,2026-03-31
AHLEAST, EQ,2026-03-31
AHLUCONT, EQ,2026-03-31
AIAENG, EQ,2026-03-31
AIIL, EQ,2026-03-31
AIRAN, EQ,2026-03-31
AIROLAM, EQ,2026-03-31
AJANTPHARM, EQ,2026-03-31
AJAXENGG, EQ,2026-03-31
AJMERA, EQ,2026-03-31
AJOONI, EQ,2026-03-31
AKASH, EQ,2026-03-31
AKG, EQ,2026-03-31
AKI, EQ,2026-03-31
AKSHAR, EQ,2026-03-31
AKSHARCHEM, EQ,2026-03-31
AKSHOPTFBR, EQ,2026-03-31
AKUMS, EQ,2026-03-31
AKZOINDIA, EQ,2026-03-31
ALANKIT, EQ,2026-03-31
ALBERTDAVD, EQ,2026-03-31
ALEMBICLTD, EQ,2026-03-31
ALGOQUANT, EQ,2026-03-31
ALICON, EQ,2026-03-31
ALIVUS, EQ,2026-03-31
ALKALI, EQ,2026-03-31
ALKEM, EQ,2026-03-31
ALKYLAMINE, EQ,2026-03-31
ALLCARGO, EQ,2026-03-31
ALLDIGI, EQ,2026-03-31
ALLTIME, EQ,2026-03-31
ALMONDZ, EQ,2026-03-31
ALOKINDS, EQ,2026-03-31
ALPA, EQ,2026-03-31
ALPHA, EQ,2026-03-31
ALPHAETF, EQ,2026-03-31
ALPHAGEO, EQ,2026-03-31
ALPL30IETF, EQ,2026-03-31
AMAGI, EQ,2026-03-31
AMANTA, EQ,2026-03-31
AMBER, EQ,2026-03-31
AMBICAAGAR, EQ,2026-03-31
AMBIKCO, EQ,2026-03-31
AMBUJACEM, EQ,2026-03-31
AMDIND, EQ,2026-03-31
AMJLAND, EQ,2026-03-31
AMNPLST, EQ,2026-03-31
AMRUTANJAN, EQ,2026-03-31
ANANDRATHI, EQ,2026-03-31
ANANTRAJ, EQ,2026-03-31
ANDHRAPAP, EQ,2026-03-31
ANDHRSUGAR, EQ,2026-03-31
ANGELONE, EQ,2026-03-31
ANIKINDS, EQ,2026-03-31
ANMOL, EQ,2026-03-31
ANTELOPUS, EQ,2026-03-31
ANTGRAPHIC, EQ,2026-03-31
ANTHEM, EQ,2026-03-31
ANUHPHR, EQ,2026-03-31
ANUP, EQ,2026-03-31
ANURAS, EQ,2026-03-31
AONEGOLD, EQ,2026-03-31
AONELIQUID, EQ,2026-03-31
AONENIFTY, EQ,2026-03-31
AONESILVER, EQ,2026-03-31
AONETMMQ50, EQ,2026-03-31
AONETOTAL, EQ,2026-03-31
APARINDS, EQ,2026-03-31
APCL, EQ,2026-03-31
APCOTEXIND, EQ,2026-03-31
APEX, EQ,2026-03-31
APLAPOLLO, EQ,2026-03-31
APLLTD, EQ,2026-03-31
APOLLO, EQ,2026-03-31
APOLLOHOSP, EQ,2026-03-31
APOLLOPIPE, EQ,2026-03-31
APOLLOTYRE, EQ,2026-03-31
APOLSINHOT, EQ,2026-03-31
APTECHT, EQ,2026-03-31
APTUS, EQ,2026-03-31
AQYLON, EQ,2026-03-31
ARCHIDPLY, EQ,2026-03-31
ARCHIES, EQ,2026-03-31
ARE&M, EQ,2026-03-31
ARENTERP, EQ,2026-03-31
ARFIN, EQ,2026-03-31
ARIES, EQ,2026-03-31
ARIHANTCAP, EQ,2026-03-31
ARIHANTSUP, EQ,2026-03-31
ARIS, EQ,2026-03-31
ARKADE, EQ,2026-03-31
ARMANFIN, EQ,2026-03-31
AROGRANITE, EQ,2026-03-31
ARROWGREEN, EQ,2026-03-31
ARSSBL, EQ,2026-03-31
ARTEMISMED, EQ,2026-03-31
ARTNIRMAN, EQ,2026-03-31
ARVEE, EQ,2026-03-31
ARVIND, EQ,2026-03-31
ARVINDFASN, EQ,2026-03-31
ARVSMART, EQ,2026-03-31
ASAHIINDIA, EQ,2026-03-31
ASAHISONG, EQ,2026-03-31
ASAL, EQ,2026-03-31
ASALCBR, EQ,2026-03-31
ASHAPURMIN, EQ,2026-03-31
ASHIANA, EQ,2026-03-31
ASHIMASYN, EQ,2026-03-31
ASHOKA, EQ,2026-03-31
ASHOKAMET, EQ,2026-03-31
ASHOKLEY, EQ,2026-03-31
ASIANENE, EQ,2026-03-31
ASIANHOTNR, EQ,2026-03-31
ASIANPAINT, EQ,2026-03-31
ASIANTILES, EQ,2026-03-31
ASKAUTOLTD, EQ,2026-03-31
ASMS, EQ,2026-03-31
ASPINWALL, EQ,2026-03-31
ASTEC, EQ,2026-03-31
ASTERDM, EQ,2026-03-31
ASTRAL, EQ,2026-03-31
ASTRAMICRO, EQ,2026-03-31
ASTRAZEN, EQ,2026-03-31
ASTRON, EQ,2026-03-31
ATALREAL, EQ,2026-03-31
ATAM, EQ,2026-03-31
ATGL, EQ,2026-03-31
ATHERENERG, EQ,2026-03-31
ATL, EQ,2026-03-31
ATLANTAA, EQ,2026-03-31
ATLANTAELE, EQ,2026-03-31
ATLASCYCLE, EQ,2026-03-31
ATUL, EQ,2026-03-31
ATULAUTO, EQ,2026-03-31
AUBANK, EQ,2026-03-31
AURIGROW, EQ,2026-03-31
AURIONPRO, EQ,2026-03-31
AUROPHARMA, EQ,2026-03-31
AURUM, EQ,2026-03-31
AUTOAXLES, EQ,2026-03-31
AUTOBEES, EQ,2026-03-31
AUTOIETF, EQ,2026-03-31
AUTOIND, EQ,2026-03-31
AVADHSUGAR, EQ,2026-03-31
AVALON, EQ,2026-03-31
AVANTEL, EQ,2026-03-31
AVANTIFEED, EQ,2026-03-31
AVG, EQ,2026-03-31
AVL, EQ,2026-03-31
AVONMORE, EQ,2026-03-31
AVROIND, EQ,2026-03-31
AVTNPL, EQ,2026-03-31
AWFIS, EQ,2026-03-31
AWHCL, EQ,2026-03-31
AWL, EQ,2026-03-31
AXISBANK, EQ,2026-03-31
AXISBNKETF, EQ,2026-03-31
AXISBPSETF, EQ,2026-03-31
AXISCADES, EQ,2026-03-31
AXISCETF, EQ,2026-03-31
AXISGOLD, EQ,2026-03-31
AXISHCETF, EQ,2026-03-31
AXISILVER, EQ,2026-03-31
AXISNIFTY, EQ,2026-03-31
AXISTECETF, EQ,2026-03-31
AXISVALUE, EQ,2026-03-31
AXSENSEX, EQ,2026-03-31
AYE, EQ,2026-03-31
AYMSYNTEX, EQ,2026-03-31
AZAD, EQ,2026-03-31
BAFNAPH, EQ,2026-03-31
BAGFILMS, EQ,2026-03-31
BAIDFIN, EQ,2026-03-31
BAJAJ-AUTO, EQ,2026-03-31
BAJAJCON, EQ,2026-03-31
BAJAJELEC, EQ,2026-03-31
BAJAJFINSV, EQ,2026-03-31
BAJAJHCARE, EQ,2026-03-31
BAJAJHFL, EQ,2026-03-31
BAJAJHIND, EQ,2026-03-31
BAJAJHLDNG, EQ,2026-03-31
BAJAJINDEF, EQ,2026-03-31
BAJEL, EQ,2026-03-31
BAJFINANCE, EQ,2026-03-31
BALAJEE, EQ,2026-03-31
BALAJITELE, EQ,2026-03-31
BALAMINES, EQ,2026-03-31
BALAXI, EQ,2026-03-31
BALKRISHNA, EQ,2026-03-31
BALKRISIND, EQ,2026-03-31
BALMLAWRIE, EQ,2026-03-31
BALPHARMA, EQ,2026-03-31
BALRAMCHIN, EQ,2026-03-31
BALUFORGE, EQ,2026-03-31
BANARBEADS, EQ,2026-03-31
BANARISUG, EQ,2026-03-31
BANCOINDIA, EQ,2026-03-31
BANDHANBNK, EQ,2026-03-31
BANG, EQ,2026-03-31
BANK10ADD, EQ,2026-03-31
BANKA, EQ,2026-03-31
BANKADD, EQ,2026-03-31
BANKBARODA, EQ,2026-03-31
BANKBEES, EQ,2026-03-31
BANKBETA, EQ,2026-03-31
BANKBETF, EQ,2026-03-31
BANKETF, EQ,2026-03-31
BANKIETF, EQ,2026-03-31
BANKINDIA, EQ,2026-03-31
BANKNIFTY1, EQ,2026-03-31
BANKPSU, EQ,2026-03-31
