TradDt,TckrSymb,ClsPric,Open,High,Low,PtsChange,ChgPct
2026-06-08,Nifty 50,23123.0,23080.7,23267.3,23070.15,-243.7,-1.04
2026-06-08,Nifty Next 50,68975.4,69353.7,69810.35,68689.1,-1216.55,-1.73
2026-06-08,Nifty 100,24111.1,24100,24285.05,24065.25,-286.2,-1.17
2026-06-08,Nifty 200,13362.25,13360.45,13468.8,13330.85,-164.75,-1.22
2026-06-08,Nifty 500,22173.7,22191.55,22357.7,22119.3,-291.65,-1.3
2026-06-08,Nifty Midcap 50,17039.15,16973.05,17208.4,16936.55,-159.75,-.93
2026-06-08,NIFTY Midcap 100,59905.65,59976.2,60569.85,59648.85,-849.25,-1.4
2026-06-08,NIFTY Smallcap 100,17763.45,17899,18020.65,17700.95,-346.85,-1.92
2026-06-08,Nifty50 Dividend Points,53.34,-,-,-,0.0,-
2026-06-08,Nifty Auto,25681.8,25798.6,25926.15,25615,-484.15,-1.85
2026-06-08,Nifty Bank,54063.75,53853.45,54455.2,53843.3,-432.5,-.79
2026-06-08,Nifty Energy,39685.45,39847.6,40187.8,39524.9,-660.65,-1.64
2026-06-08,Nifty Financial Services,24805.0,24738.3,24951.9,24734.45,-251.8,-1
2026-06-08,Nifty FMCG,48098.65,47935.1,48458.55,47674.7,-203.8,-.42
2026-06-08,Nifty IT,28653.55,28577.7,28915.85,28417.7,-356.75,-1.23
2026-06-08,Nifty Media,1476.8,1496.9,1517,1466.65,-25.65,-1.71
2026-06-08,Nifty Metal,12913.65,13011.1,13075.55,12849.9,-308.0,-2.33
2026-06-08,Nifty MNC,31231.2,31362,31506.65,31113.05,-472.5,-1.49
2026-06-08,Nifty Pharma,24147.65,24090.15,24417.1,24059.65,-100.4,-.41
2026-06-08,Nifty PSU Bank,8199.55,8171.15,8346.95,8165.7,-59.5,-.72
2026-06-08,Nifty Realty,749.2,760.75,763.85,744.7,-19.7,-2.56
2026-06-08,Nifty India Consumption,11083.5,11063.5,11168.85,11032.45,-109.85,-.98
2026-06-08,Nifty Commodities,9942.15,9981.3,10054.7,9907.7,-161.15,-1.6
2026-06-08,Nifty Dividend Opportunities 50,5760.4,5753.05,5802,5739.55,-61.25,-1.05
2026-06-08,Nifty Infrastructure,9087.55,9073.05,9163.05,9051.1,-94.7,-1.03
2026-06-08,Nifty PSE,10042.0,9960.2,10113.2,9934.6,-38.45,-.38
2026-06-08,Nifty Services Sector,29298.35,29145.3,29440.45,29138.4,-219.3,-.74
2026-06-08,Nifty50 Shariah,4240.4,4220.85,4265.45,4218.1,-32.3,-.76
2026-06-08,Nifty500 Shariah,6777.5,6782.05,6838.9,6757.85,-90.9,-1.32
2026-06-08,Nifty Low Volatility 50,23556.05,23526,23698.85,23489.35,-211.75,-.89
2026-06-08,Nifty Alpha 50,51062.6,51349.2,51845.4,50827.55,-1140.45,-2.18
2026-06-08,Nifty High Beta 50,4126.45,4154.35,4190.25,4107.35,-90.45,-2.14
2026-06-08,Nifty100 Equal Weight,33215.15,33302.4,33541.35,33108.3,-496.05,-1.47
2026-06-08,Nifty100 Liquid 15,6985.2,6960.35,7028.15,6952.55,-66.85,-.95
2026-06-08,Nifty CPSE,6915.95,6828.7,6965.85,6817.45,9.8,.14
2026-06-08,Nifty50 Value 20,11825.15,11767.4,11899,11760.6,-83.2,-.7
2026-06-08,Nifty Midcap Liquid 15,16069.3,15889.15,16211.45,15867.7,-91.3,-.56
2026-06-08,Nifty Shariah 25,7653.15,7632.3,7708.05,7617.1,-69.1,-.89
2026-06-08,India VIX,17.03,15.7875,18.44,15.7875,1.24,7.85
2026-06-08,Nifty Growth Sectors 15,10638.5,10607.4,10712.15,10605.95,-96.75,-.9
2026-06-08,Nifty50 TR 1x Inverse,186.1,186.45,186.5,185,2.0,1.09
2026-06-08,Nifty50 TR 2x Leverage,16750.3,16688.35,16961.05,16674.85,-364.25,-2.13
2026-06-08,Nifty50 PR 1x Inverse,228.05,228.45,228.55,226.65,2.45,1.09
2026-06-08,Nifty50 PR 2x Leverage,11117.75,11076.6,11257.6,11067.65,-241.75,-2.13
2026-06-08,NIFTY100 Quality 30,5414.45,5396.5,5451.4,5386.5,-45.9,-.84
2026-06-08,Nifty India Corporate Group Index - Mahindra Group,32926.44,-,-,-,-510.71,-1.53
2026-06-08,Nifty India Corporate Group Index - Aditya Birla Group,9520.4,-,-,-,-206.5,-2.12
2026-06-08,Nifty India Corporate Group Index - Tata Group,13892.49,-,-,-,-258.69,-1.83
2026-06-08,Nifty India Corporate Group Index - Tata Group 25% Cap,13866.0,13925.35,14002,13832.65,-256.85,-1.82
2026-06-08,Nifty Private Bank,26122.4,26000.55,26287.45,25996.9,-176.85,-.67
2026-06-08,Nifty Smallcap 250,16748.9,16856.7,16961.6,16691.5,-305.6,-1.79
